order_id,product_id,review_id,review_score,review_creation_date,review_answer_timestamp,customer_id,review_content
0009c9a17f916a706d71784483a5d643,64b89dc9203902d7dd7ed822,787a452b54147f8f64737b1e040234af,4,5/1/2018 0:00,5/1/2018 21:14,64e2cb09d3d42a70e18276cb,"Cuốn sách này thực sự là một tác phẩm nghệ thuật với lối viết tinh tế và sâu sắc."""
003423b755b562962a6225a8de40d12e,64b89dc9203902d7dd7ed822,f58325a189b533108ea7141e53ee15ba,3,7/25/2018 0:00,7/26/2018 23:22,64e2cb09d3d42a70e18276cc,  Tôi đã bị cuốn hút từ trang đầu tiên và không thể dừng đọc cho đến khi hoàn thành. 
0045e3085f083f0f38d24bb3f22e6593,64b89dc9203902d7dd7ed822,27abf489a0e46ad7dfa4dbdac61b188c,5,8/30/2017 0:00,9/2/2017 6:07,64e2cb09d3d42a70e18276cd, Sự phát triển của nhân vật chính trong cuốn sách thực sự đầy cảm xúc và đáng ngưỡng mộ. 
00588f5f20fee630b83d4709e0a42715,64b89dc9203902d7dd7ed823,b4e8ec7012eef81503df0e1e6c65f281,1,8/31/2017 0:00,9/3/2017 17:29,64e2cb09d3d42a70e18276cc,  Tác giả đã tạo nên một thế giới hư cấu rất thú vị và tươi mới. 
00e054d0da011d5016f31011af488f4f,64b89dc9203902d7dd7ed823,f7a702f98546f133f23a5922c7c1be20,4,4/7/2018 0:00,4/9/2018 3:06,64e2cb09d3d42a70e18276cd, Cuốn sách này thực sự khiến tôi suy ngẫm về cuộc sống và ý nghĩa thực sự của nó. 
01500f2503fa84279982d9d87750021a,64b89dc9203902d7dd7ed823,fb7a716c17f5c07692e60c21ffd98773,5,9/15/2017 0:00,9/16/2017 9:23,64e2cb09d3d42a70e18276ce, Ngôn ngữ mô tả trong sách giúp tôi hình dung rõ nét mọi chi tiết và tạo hình ảnh sống động trong tâm trí. 
01a1553cddb473cec004af5ce2192f1c,64b89dc9203902d7dd7ed824,bb4adccbf5dec1dc01a9fadb2fe3a6bf,4,8/9/2018 0:00,8/13/2018 12:11,64e2cb09d3d42a70e18276cb, Tôi đã học được nhiều điều bổ ích và cảm thấy phong phú hơn sau khi đọc cuốn sách này. 
02d84940c88e0c1c91ec65aeb663578d,64b89dc9203902d7dd7ed824,2aa67822b8a43583960aac2d2f1fd3c0,4,2/8/2018 0:00,2/11/2018 22:40,64e2cb09d3d42a70e18276cc, Sách này thật sự là một nguồn cảm hứng lớn cho tôi để theo đuổi đam mê của mình. 
03225b1b0b8897aa43a745d14fde3c87,64b89dc9203902d7dd7ed824,c08b624bc78a609149476c5beac0531e,5,7/4/2018 0:00,7/5/2018 11:13,64e2cb09d3d42a70e18276cd,"Khả năng kể chuyện của tác giả thật sự xuất sắc, khiến câu chuyện trở nên sống động và thú vị. "
032d1a95f9e146c92cf349805c5e1293,64b89dc9203902d7dd7ed826,35574d1f534b7c4e6050acc080522521,5,8/1/2018 0:00,8/7/2018 22:01,d1e9fd112fc30cbfc329679820335bb6,Cuốn sách này mang đến cho độc giả một cảm xúc hài hòa giữa tiếng cười và nước mắt. 
03a77816f8b67ef237ecca2c772c4851,64b89dc9203902d7dd7ed826,b614815acfc3b4cd7a7db60fa7453a8d,5,6/13/2018 0:00,6/15/2018 20:36,d8c87ef39b9996034c86991b5cb7f20d,Tôi cảm nhận được sự tận tâm và nghiên cứu kỹ lưỡng của tác giả thông qua cách mà thông tin được truyền đạt. 
03ad48120321b06697272dfa53deff2b,64b89dc9203902d7dd7ed826,a2d9740e18772ccdb88bb06cb82f13c2,5,8/31/2018 0:00,8/31/2018 13:39,81434b9d10a7796f96c83d3b6695016a,  Sách đưa ra những quan điểm độc đáo và thách thức tư duy của người đọc. 
03da04c1427d7b8bff38d76efca1029d,64b89dc9203902d7dd7ed82d,7ff1483079a6bcb4ee154af5ac58e9d6,3,12/19/2017 0:00,12/20/2017 23:28,64e2cb09d3d42a70e18276cb," Tôi cảm thấy như mình đang sống chung với nhân vật, trải qua mọi cảm xúc và trăn trở của họ. "
041aa5c38550649d5b51f38ba03a29a4,64b89dc9203902d7dd7ed82d,0498e9722f8757426c3c3ee0b91e666d,4,3/3/2018 0:00,3/6/2018 1:00,144f118d87d88f07c47bd1caf3d2f647," Cuốn sách này thực sự là một hành trình tri thức, giúp mở rộng kiến thức và tầm nhìn của tôi. "
048d1e40afa8d75641833ebbb74f85b7,64b89dc9203902d7dd7ed82d,a40c893edf357590dc38416e8402b975,4,12/21/2017 0:00,12/26/2017 10:20,86bb630ecd16f9a56c9715b40834f460, Tôi đã đắm chìm trong thế giới của cuốn sách này và cảm nhận được mọi cung bậc tình cảm. 
