order_id,product_id,price,priceVND,product_category_name,customer_id,older,order_purchase_timestamp
0009c9a17f916a706d71784483a5d643,64b89dc9203902d7dd7ed822,639,140580,Consoles Games,64e2cb09d3d42a70e18276cb,4/25/2018 9:10,4/19/2023 9:10
003423b755b562962a6225a8de40d12e,64b89dc9203902d7dd7ed822,12,264000,Garden Tools,64e2cb09d3d42a70e18276cc,7/8/2018 11:28,7/2/2023 11:28
0045e3085f083f0f38d24bb3f22e6593,64b89dc9203902d7dd7ed822,11.5,253000,Health Beauty,64e2cb09d3d42a70e18276cd,8/10/2017 16:13,8/4/2022 16:13
00588f5f20fee630b83d4709e0a42715,64b89dc9203902d7dd7ed823,89,19580,Telephony,64e2cb09d3d42a70e18276cc,8/18/2017 16:02,8/12/2022 16:02
00e054d0da011d5016f31011af488f4f,64b89dc9203902d7dd7ed823,104,22880,Sports Leisure,64e2cb09d3d42a70e18276cd,3/11/2018 19:46,3/5/2023 19:46
01500f2503fa84279982d9d87750021a,64b89dc9203902d7dd7ed823,19.9,437800,Watches Gifts,64e2cb09d3d42a70e18276ce,9/9/2017 20:02,9/3/2022 20:02
01a1553cddb473cec004af5ce2192f1c,64b89dc9203902d7dd7ed824,79.9,17578,Home Construction,64e2cb09d3d42a70e18276cb,7/20/2018 9:55,7/14/2023 9:55
02d84940c88e0c1c91ec65aeb663578d,64b89dc9203902d7dd7ed824,180,39600,Computers Accessories,64e2cb09d3d42a70e18276cc,2/3/2018 11:41,1/28/2023 11:41
03225b1b0b8897aa43a745d14fde3c87,64b89dc9203902d7dd7ed824,98.9,21758,Baby,64e2cb09d3d42a70e18276cd,6/28/2018 9:19,6/22/2023 9:19
032d1a95f9e146c92cf349805c5e1293,64b89dc9203902d7dd7ed826,196.8,43296,Furniture Decor,d1e9fd112fc30cbfc329679820335bb6,7/26/2018 19:35,7/20/2023 19:35
03a77816f8b67ef237ecca2c772c4851,64b89dc9203902d7dd7ed826,89.9,19778,Health Beauty,d8c87ef39b9996034c86991b5cb7f20d,5/30/2018 21:48,5/24/2023 21:48
03ad48120321b06697272dfa53deff2b,64b89dc9203902d7dd7ed826,69.9,15378,Housewares,81434b9d10a7796f96c83d3b6695016a,8/22/2018 17:42,8/16/2023 17:42
03da04c1427d7b8bff38d76efca1029d,64b89dc9203902d7dd7ed82d,95.99,21117.8,Garden Tools,64e2cb09d3d42a70e18276cb,12/13/2017 16:56,12/7/2022 16:56
